participant,study_status,scene_familiarity,recall_status,fix_cnt,max_fix_cnt,avg_fix_cnt,blink_cnt,peak_blink_duration,avg_blink_duration,microsaccade_count,avg_microsaccade_duration,avg_microsaccade_vel,avg_microsaccade_amp
23,0.0,1.0,0.5,6,55,25.666666666666668,0,0,0.0,1,9.0,11.308362706938665,10.38783521881989
6,0.0,1.0,0.5,9,47,21.666666666666668,1,19,19.0,1,12.0,2.9225502492287334,27.920658166268154
6,1.0,1.0,1.0,4,152,44.75,1,21,21.0,0,0.0,0.0,0.0
3,1.0,1.0,1.0,10,63,21.5,0,0,0.0,1,11.0,4.781003239831694,17.754015074834655
24,0.0,1.0,0.5,11,26,11.545454545454545,0,0,0.0,0,0.0,0.0,0.0
23,0.0,1.0,0.5,8,22,10.375,0,0,0.0,0,0.0,0.0,0.0
3,0.0,1.0,0.5,8,46,24.625,0,0,0.0,1,8.0,2.2508438034294116,13.063780750061166
9,1.0,1.0,0.5,8,76,24.375,1,142,142.0,0,0.0,0.0,0.0
4,1.0,1.0,0.5,11,45,15.0,0,0,0.0,0,0.0,0.0,0.0
6,0.0,1.0,0.5,12,27,12.666666666666666,0,0,0.0,3,10.0,3.51527977262061,24.42683777733761
2,1.0,1.0,1.0,12,18,11.166666666666666,1,20,20.0,1,7.0,6.210803936240488,22.451709538770352
9,1.0,1.0,1.0,8,24,15.25,1,13,13.0,1,17.0,2.11278662762369,23.085875534285712
15,1.0,1.0,1.0,8,31,21.5,0,0,0.0,1,10.0,2.79927152360957,21.593212926162664
18,1.0,1.0,1.0,5,25,18.6,0,0,0.0,0,0.0,0.0,0.0
26,1.0,1.0,1.0,12,46,15.75,0,0,0.0,0,0.0,0.0,0.0
25,1.0,1.0,1.0,8,35,20.125,0,0,0.0,0,0.0,0.0,0.0
23,1.0,1.0,1.0,7,35,18.428571428571427,0,0,0.0,0,0.0,0.0,0.0
23,0.0,1.0,0.5,6,25,13.666666666666666,0,0,0.0,0,0.0,0.0,0.0
17,0.0,1.0,0.5,7,31,14.285714285714286,0,0,0.0,0,0.0,0.0,0.0
15,0.0,1.0,0.5,8,46,15.0,0,0,0.0,1,8.0,4.7875453484447785,19.97242976643968
5,1.0,1.0,0.5,9,51,17.11111111111111,2,36,24.0,0,0.0,0.0,0.0
1,1.0,1.0,1.0,12,31,11.0,0,0,0.0,0,0.0,0.0,0.0
3,1.0,1.0,1.0,11,32,16.363636363636363,1,19,19.0,3,8.666666666666666,3.370226335622737,22.4861649825404
4,0.0,1.0,0.5,7,61,19.0,0,0,0.0,0,0.0,0.0,0.0
4,0.0,1.0,0.5,10,19,9.4,0,0,0.0,0,0.0,0.0,0.0
23,0.0,1.0,0.0,8,35,23.0,1,187,187.0,0,0.0,0.0,0.0
14,0.0,1.0,0.5,4,50,37.25,1,48,48.0,0,0.0,0.0,0.0
1,1.0,1.0,1.0,12,43,16.75,1,18,18.0,0,0.0,0.0,0.0
17,0.0,1.0,0.5,13,27,12.692307692307692,0,0,0.0,1,8.0,3.0057122814043495,17.33785919859281
19,1.0,1.0,1.0,2,146,112.5,0,0,0.0,1,8.5,1.8449174484920823,8.45953861617972
14,1.0,1.0,0.5,8,30,23.125,0,0,0.0,0,0.0,0.0,0.0
24,1.0,1.0,1.0,8,93,23.5,1,33,33.0,0,0.0,0.0,0.0
23,0.0,1.0,0.5,7,45,14.0,1,23,23.0,0,0.0,0.0,0.0
25,1.0,1.0,1.0,9,35,14.555555555555555,0,0,0.0,1,8.0,3.4591174030494782,20.149117165836728
24,1.0,1.0,0.5,8,42,23.625,0,0,0.0,1,8.0,3.4832633966025393,20.139800612683864
18,1.0,1.0,0.0,3,187,68.33333333333333,0,0,0.0,0,0.0,0.0,0.0
14,0.0,1.0,0.5,10,45,15.8,1,27,27.0,1,7.0,3.6831289175149324,15.66351667318802
17,1.0,1.0,1.0,12,23,15.0,0,0,0.0,2,12.75,3.092163238887744,25.426685958721507
6,1.0,1.0,0.0,8,22,11.125,0,0,0.0,0,0.0,0.0,0.0
14,1.0,1.0,1.0,9,27,14.11111111111111,1,65,65.0,0,0.0,0.0,0.0
3,1.0,1.0,1.0,12,28,15.833333333333334,1,11,11.0,2,10.75,2.895283743722346,20.80233385923452
1,1.0,1.0,1.0,4,63,48.5,1,12,12.0,0,0.0,0.0,0.0
19,1.0,1.0,1.0,8,31,16.0,0,0,0.0,0,0.0,0.0,0.0
21,1.0,1.0,1.0,5,48,25.4,1,28,28.0,1,7.5,11.756658680062557,19.16347368215753
25,0.0,1.0,0.5,6,38,21.166666666666668,1,92,92.0,1,7.5,10.597786013894325,15.374185091152988
23,1.0,1.0,0.5,7,67,24.857142857142858,1,89,89.0,0,0.0,0.0,0.0
