participant,study_status,scene_familiarity,recall_status,fix_cnt,max_fix_cnt,avg_fix_cnt
7,0.0,1.0,0.0,11,88,29.272727272727273
5,1.0,1.0,1.0,10,65,31.3
7,0.0,1.0,0.5,2,278,164.5
24,1.0,1.0,1.0,13,40,18.076923076923077
18,0.0,1.0,0.5,9,41,24.22222222222222
25,1.0,1.0,0.5,18,56,14.944444444444445
22,0.0,1.0,0.5,18,30,11.833333333333334
12,1.0,1.0,0.5,20,30,14.3
8,0.0,1.0,0.5,10,45,21.7
18,1.0,1.0,1.0,9,103,32.666666666666664
18,1.0,1.0,1.0,11,72,21.727272727272727
17,1.0,1.0,1.0,15,40,18.466666666666665
1,1.0,1.0,0.5,15,53,16.4
7,0.0,1.0,0.5,4,135,75.25
25,1.0,1.0,1.0,8,59,33.25
9,0.0,1.0,0.0,14,31,18.714285714285715
19,1.0,1.0,1.0,17,37,15.176470588235293
19,1.0,1.0,1.0,5,146,54.8
9,1.0,1.0,0.5,13,41,16.307692307692307
24,1.0,1.0,1.0,10,50,28.7
23,1.0,1.0,1.0,10,30,18.2
12,0.0,1.0,0.0,8,51,22.5
12,1.0,1.0,1.0,20,34,13.25
14,1.0,1.0,1.0,14,51,19.928571428571427
12,1.0,1.0,1.0,17,44,17.764705882352942
17,1.0,1.0,1.0,11,44,20.545454545454547
12,1.0,1.0,1.0,16,37,19.6875
9,0.0,1.0,0.0,16,44,13.875
8,1.0,1.0,0.0,8,73,35.0
22,1.0,1.0,1.0,17,39,15.0
14,1.0,1.0,1.0,7,62,41.857142857142854
22,1.0,1.0,1.0,11,48,22.454545454545453
8,1.0,1.0,0.5,13,35,17.307692307692307
24,0.0,1.0,0.5,12,45,23.083333333333332
6,1.0,1.0,0.0,6,112,38.0
18,0.0,1.0,0.5,10,44,24.9
18,0.0,1.0,0.5,9,114,25.666666666666668
16,0.0,1.0,0.0,11,74,27.727272727272727
23,0.0,1.0,0.5,10,25,14.8
17,0.0,1.0,0.5,15,14,9.133333333333333
23,0.0,1.0,0.0,13,35,16.076923076923077
14,1.0,1.0,1.0,3,157,98.66666666666667
14,1.0,1.0,1.0,6,237,55.666666666666664
3,0.0,1.0,0.5,15,43,19.933333333333334
9,0.0,1.0,0.5,10,54,23.9
15,1.0,1.0,0.5,13,31,17.0
24,1.0,1.0,0.5,11,63,26.454545454545453
19,1.0,1.0,1.0,7,52,18.857142857142858
21,0.0,1.0,0.5,10,69,26.3
25,1.0,1.0,1.0,7,74,44.714285714285715
25,0.0,1.0,0.5,15,22,15.133333333333333
14,0.0,1.0,0.5,10,32,21.2
5,1.0,1.0,1.0,10,49,27.1
3,1.0,1.0,1.0,20,33,13.3
4,1.0,1.0,1.0,13,80,21.307692307692307
23,1.0,1.0,1.0,12,39,20.416666666666668
25,1.0,1.0,1.0,15,31,16.333333333333332
24,0.0,1.0,0.5,8,140,41.0
6,0.0,1.0,0.5,12,55,22.75
3,0.0,1.0,0.5,17,49,18.0
6,1.0,1.0,1.0,7,96,44.285714285714285
22,0.0,1.0,0.5,16,47,15.25
7,1.0,1.0,1.0,2,212,140.0
12,1.0,1.0,0.5,19,48,15.052631578947368
6,1.0,1.0,1.0,10,45,25.4
26,1.0,1.0,1.0,7,22,12.142857142857142
6,0.0,1.0,0.0,11,30,13.727272727272727
24,1.0,1.0,1.0,13,35,16.153846153846153
9,0.0,1.0,0.5,9,63,27.77777777777778
16,1.0,1.0,1.0,19,56,14.68421052631579
17,1.0,1.0,0.5,16,39,14.75
3,0.0,1.0,0.5,6,76,48.0
25,0.0,1.0,0.0,13,45,21.307692307692307
2,1.0,1.0,0.5,9,74,31.444444444444443
22,1.0,1.0,0.0,20,35,14.25
24,0.0,1.0,0.5,9,55,32.55555555555556
9,1.0,1.0,1.0,13,61,17.692307692307693
15,0.0,1.0,0.5,13,33,14.923076923076923
18,1.0,1.0,1.0,14,68,21.142857142857142
7,1.0,1.0,1.0,2,294,164.0
24,0.0,1.0,0.5,15,34,17.466666666666665
6,1.0,1.0,1.0,4,158,71.0
16,0.0,1.0,0.0,15,41,17.133333333333333
26,0.0,1.0,0.5,16,23,10.875
24,1.0,1.0,0.5,9,52,34.55555555555556
25,1.0,1.0,0.5,17,27,13.176470588235293
