participant,study_status,scene_familiarity,recall_status,blink_cnt,peak_blink_duration,avg_blink_duration
25,0.0,0.0,,2,17,11.5
18,1.0,0.0,,1,5,5.0
8,1.0,0.0,,0,0,0.0
16,0.0,0.0,,1,38,38.0
14,0.0,0.0,,0,0,0.0
23,0.0,0.0,,1,47,47.0
3,0.0,0.0,,1,17,17.0
15,0.0,0.0,,0,0,0.0
6,0.0,0.0,,1,30,30.0
11,0.0,0.0,,1,10,10.0
24,1.0,0.0,,0,0,0.0
15,1.0,0.0,,1,39,39.0
2,0.0,0.0,,2,50,35.5
14,0.0,0.0,,0,0,0.0
8,1.0,0.0,,1,19,19.0
3,0.0,0.0,,1,14,14.0
7,1.0,0.0,,0,0,0.0
24,0.0,0.0,,1,27,27.0
12,0.0,0.0,,1,22,22.0
18,1.0,0.0,,1,5,5.0
4,0.0,0.0,,0,0,0.0
18,1.0,0.0,,1,8,8.0
22,0.0,0.0,,1,30,30.0
1,1.0,0.0,,1,99,99.0
18,1.0,0.0,,1,9,9.0
9,1.0,0.0,,1,15,15.0
7,1.0,0.0,,1,32,32.0
15,0.0,0.0,,0,0,0.0
19,0.0,0.0,,1,18,18.0
24,0.0,0.0,,1,27,27.0
4,0.0,0.0,,1,85,85.0
13,0.0,0.0,,1,24,24.0
4,0.0,0.0,,0,0,0.0
11,0.0,0.0,,0,0,0.0
18,1.0,0.0,,0,0,0.0
22,0.0,0.0,,0,0,0.0
8,1.0,0.0,,0,0,0.0
26,0.0,0.0,,0,0,0.0
19,1.0,0.0,,0,0,0.0
22,0.0,0.0,,1,11,11.0
17,1.0,0.0,,0,0,0.0
15,0.0,0.0,,0,0,0.0
16,0.0,0.0,,0,0,0.0
12,0.0,0.0,,1,33,33.0
16,1.0,0.0,,1,16,16.0
17,1.0,0.0,,0,0,0.0
24,0.0,0.0,,0,0,0.0
17,1.0,0.0,,0,0,0.0
21,1.0,0.0,,0,0,0.0
24,1.0,0.0,,0,0,0.0
17,1.0,0.0,,0,0,0.0
26,0.0,0.0,,1,20,20.0
18,1.0,0.0,,0,0,0.0
21,0.0,0.0,,1,8,8.0
24,0.0,0.0,,0,0,0.0
22,0.0,0.0,,0,0,0.0
5,0.0,0.0,,1,73,73.0
4,0.0,0.0,,0,0,0.0
6,0.0,0.0,,1,30,30.0
14,0.0,0.0,,1,44,44.0
9,1.0,0.0,,2,18,13.0
18,1.0,0.0,,1,5,5.0
1,1.0,0.0,,1,14,14.0
4,0.0,0.0,,0,0,0.0
14,0.0,0.0,,1,43,43.0
26,0.0,0.0,,0,0,0.0
2,1.0,0.0,,0,0,0.0
7,1.0,0.0,,1,89,89.0
14,0.0,0.0,,1,18,18.0
24,0.0,0.0,,1,34,34.0
4,0.0,0.0,,1,85,85.0
3,1.0,0.0,,0,0,0.0
23,0.0,0.0,,0,0,0.0
25,0.0,0.0,,1,17,17.0
24,1.0,0.0,,0,0,0.0
1,1.0,0.0,,0,0,0.0
24,0.0,0.0,,0,0,0.0
4,0.0,0.0,,0,0,0.0
4,0.0,0.0,,0,0,0.0
7,1.0,0.0,,1,142,142.0
21,1.0,0.0,,1,32,32.0
23,0.0,0.0,,1,42,42.0
9,1.0,0.0,,1,11,11.0
5,0.0,0.0,,1,6,6.0
25,0.0,0.0,,0,0,0.0
2,1.0,0.0,,0,0,0.0
23,0.0,0.0,,0,0,0.0
9,0.0,0.0,,1,18,18.0
22,0.0,0.0,,1,11,11.0
18,1.0,0.0,,0,0,0.0
23,0.0,0.0,,1,46,46.0
4,0.0,0.0,,0,0,0.0
16,0.0,0.0,,0,0,0.0
24,0.0,0.0,,1,7,7.0
17,1.0,0.0,,1,22,22.0
2,0.0,0.0,,1,21,21.0
