participant,study_status,scene_familiarity,recall_status,fix_cnt,max_fix_cnt,avg_fix_cnt,blink_cnt,peak_blink_duration,avg_blink_duration
1,0.0,1.0,0.0,7,36,13.857142857142858,1,95,95.0
23,1.0,1.0,1.0,7,56,17.428571428571427,1,26,26.0
14,1.0,1.0,1.0,8,35,21.0,1,89,89.0
2,0.0,1.0,0.0,5,59,35.8,1,211,211.0
14,0.0,1.0,0.5,8,41,19.125,1,24,24.0
23,1.0,1.0,0.0,4,68,41.25,1,15,15.0
6,1.0,1.0,1.0,7,53,21.428571428571427,0,0,0.0
17,1.0,1.0,0.5,16,16,11.3125,0,0,0.0
2,0.0,1.0,0.5,10,30,12.3,0,0,0.0
18,1.0,1.0,1.0,7,40,19.571428571428573,0,0,0.0
10,1.0,1.0,0.0,7,38,26.571428571428573,1,16,16.0
7,0.0,1.0,0.5,4,119,53.75,0,0,0.0
3,0.0,1.0,0.5,12,32,14.0,0,0,0.0
24,1.0,1.0,1.0,6,38,15.833333333333334,0,0,0.0
14,0.0,1.0,0.5,8,46,19.25,1,27,27.0
6,1.0,1.0,1.0,8,53,16.625,1,19,19.0
23,1.0,1.0,1.0,11,59,15.0,0,0,0.0
18,0.0,1.0,0.0,8,31,15.625,1,25,25.0
16,0.0,1.0,0.0,9,20,10.88888888888889,1,30,30.0
13,0.0,1.0,0.5,5,83,35.6,1,20,20.0
26,1.0,1.0,0.5,5,144,43.0,0,0,0.0
14,0.0,1.0,0.5,15,26,11.933333333333334,0,0,0.0
17,1.0,1.0,1.0,5,51,29.2,0,0,0.0
25,1.0,1.0,1.0,8,58,23.125,0,0,0.0
4,0.0,1.0,0.5,12,41,15.833333333333334,1,16,16.0
25,1.0,1.0,1.0,8,48,23.0,1,18,18.0
5,1.0,1.0,0.5,15,27,12.733333333333333,1,12,12.0
23,1.0,1.0,0.0,8,30,15.125,0,0,0.0
22,1.0,1.0,1.0,7,57,23.571428571428573,1,135,135.0
24,0.0,1.0,0.5,9,31,20.88888888888889,0,0,0.0
17,1.0,1.0,1.0,11,27,13.454545454545455,0,0,0.0
23,0.0,1.0,0.5,7,41,18.0,1,45,45.0
2,0.0,1.0,0.0,6,50,33.666666666666664,1,23,23.0
23,1.0,1.0,1.0,9,32,18.555555555555557,0,0,0.0
1,0.0,1.0,0.0,8,69,20.625,1,11,11.0
23,0.0,1.0,0.5,7,58,30.142857142857142,1,17,17.0
3,0.0,1.0,0.5,6,28,11.666666666666666,1,94,94.0
3,1.0,1.0,1.0,9,44,20.77777777777778,1,11,11.0
13,1.0,1.0,1.0,7,51,21.428571428571427,1,77,77.0
12,1.0,1.0,1.0,14,24,13.5,0,0,0.0
26,1.0,1.0,1.0,5,85,41.6,0,0,0.0
17,1.0,1.0,1.0,8,90,27.375,0,0,0.0
16,1.0,1.0,1.0,5,85,35.0,1,19,19.0
15,1.0,1.0,0.5,12,22,11.333333333333334,1,35,35.0
12,1.0,1.0,1.0,14,23,13.071428571428571,0,0,0.0
19,1.0,1.0,1.0,6,55,23.5,1,48,48.0
9,1.0,1.0,0.5,6,74,33.833333333333336,1,125,125.0
2,1.0,1.0,0.0,7,23,13.571428571428571,1,16,16.0
21,1.0,1.0,0.5,5,64,41.2,0,0,0.0
14,1.0,1.0,1.0,7,50,31.285714285714285,0,0,0.0
4,1.0,1.0,1.0,9,21,11.555555555555555,0,0,0.0
1,1.0,1.0,1.0,9,36,13.11111111111111,1,49,49.0
24,0.0,1.0,0.5,4,60,47.0,0,0,0.0
8,0.0,1.0,0.0,12,25,11.416666666666666,0,0,0.0
25,1.0,1.0,1.0,6,30,22.166666666666668,0,0,0.0
26,1.0,1.0,0.5,6,12,9.666666666666666,0,0,0.0
9,1.0,1.0,1.0,8,41,25.0,0,0,0.0
14,1.0,1.0,0.5,6,57,33.666666666666664,0,0,0.0
4,1.0,1.0,1.0,8,14,10.125,0,0,0.0
25,1.0,1.0,1.0,6,38,27.333333333333332,0,0,0.0
21,1.0,1.0,1.0,8,91,19.75,0,0,0.0
4,1.0,1.0,0.5,9,45,15.0,1,25,25.0
10,0.0,1.0,0.5,6,53,33.166666666666664,1,21,21.0
23,1.0,1.0,1.0,9,24,14.666666666666666,1,45,45.0
3,0.0,1.0,0.5,8,40,25.375,0,0,0.0
3,0.0,1.0,0.5,11,32,19.545454545454547,0,0,0.0
19,1.0,1.0,0.0,3,122,64.33333333333333,0,0,0.0
25,0.0,1.0,0.5,6,40,24.833333333333332,0,0,0.0
13,1.0,1.0,1.0,7,51,25.714285714285715,1,25,25.0
18,1.0,1.0,1.0,8,47,22.25,0,0,0.0
2,0.0,1.0,0.0,8,48,26.625,0,0,0.0
14,1.0,1.0,0.5,13,37,14.307692307692308,0,0,0.0
8,1.0,1.0,1.0,9,47,17.666666666666668,0,0,0.0
19,1.0,1.0,1.0,3,128,54.0,1,52,52.0
3,1.0,1.0,0.5,8,68,27.375,0,0,0.0
8,1.0,1.0,0.0,4,43,35.5,0,0,0.0
26,0.0,1.0,0.0,8,46,21.625,0,0,0.0
15,0.0,1.0,0.5,9,25,12.555555555555555,0,0,0.0
16,0.0,1.0,0.5,7,24,14.428571428571429,0,0,0.0
17,0.0,1.0,0.5,10,52,15.5,0,0,0.0
9,1.0,1.0,1.0,9,34,16.555555555555557,1,87,87.0
19,1.0,1.0,1.0,8,24,12.75,1,18,18.0
