participant,study_status,scene_familiarity,recall_status,fix_cnt,max_fix_cnt,avg_fix_cnt,blink_cnt,peak_blink_duration,avg_blink_duration
1,1.0,0.0,,10,59,21.2,1,18,18.0
9,1.0,0.0,,10,42,18.6,1,15,15.0
17,1.0,0.0,,6,57,23.166666666666668,0,0,0.0
3,0.0,0.0,,8,39,16.25,1,16,16.0
8,1.0,0.0,,8,51,20.625,1,67,67.0
10,1.0,0.0,,5,47,33.2,0,0,0.0
3,0.0,0.0,,12,31,15.5,0,0,0.0
17,1.0,0.0,,9,37,17.0,0,0,0.0
3,1.0,0.0,,6,66,35.666666666666664,2,13,8.0
2,1.0,0.0,,6,72,34.833333333333336,0,0,0.0
4,0.0,0.0,,9,17,9.88888888888889,0,0,0.0
5,0.0,0.0,,5,117,40.8,1,28,28.0
9,0.0,0.0,,10,48,19.4,0,0,0.0
19,0.0,0.0,,14,15,10.928571428571429,1,17,17.0
3,1.0,0.0,,5,86,40.6,1,121,121.0
19,1.0,0.0,,8,27,15.75,0,0,0.0
24,1.0,0.0,,10,35,18.0,0,0,0.0
25,0.0,0.0,,6,18,11.0,1,115,115.0
16,1.0,0.0,,3,137,71.0,0,0,0.0
1,1.0,0.0,,6,39,16.666666666666668,0,0,0.0
10,1.0,0.0,,14,51,13.071428571428571,0,0,0.0
24,0.0,0.0,,10,42,17.2,0,0,0.0
24,0.0,0.0,,10,35,17.8,1,10,10.0
17,1.0,0.0,,8,39,19.5,0,0,0.0
6,0.0,0.0,,6,46,29.333333333333332,2,25,22.5
8,1.0,0.0,,11,18,11.727272727272727,1,19,19.0
6,0.0,0.0,,12,37,15.083333333333334,0,0,0.0
19,0.0,0.0,,8,28,15.125,1,18,18.0
9,1.0,0.0,,7,35,16.714285714285715,1,15,15.0
6,0.0,0.0,,9,40,18.666666666666668,1,16,16.0
18,1.0,0.0,,4,67,37.75,1,9,9.0
9,1.0,0.0,,6,104,32.5,1,5,5.0
18,1.0,0.0,,11,31,16.09090909090909,0,0,0.0
18,1.0,0.0,,9,46,17.77777777777778,0,0,0.0
17,1.0,0.0,,11,53,17.90909090909091,1,22,22.0
9,1.0,0.0,,6,104,32.166666666666664,0,0,0.0
25,0.0,0.0,,8,20,14.875,1,18,18.0
3,0.0,0.0,,11,48,16.363636363636363,1,3,3.0
14,0.0,0.0,,9,44,18.444444444444443,1,20,20.0
18,1.0,0.0,,6,32,17.166666666666668,1,62,62.0
4,0.0,0.0,,10,21,13.8,0,0,0.0
3,0.0,0.0,,10,48,16.2,1,88,88.0
19,1.0,0.0,,11,29,15.181818181818182,0,0,0.0
13,1.0,0.0,,7,34,18.714285714285715,1,120,120.0
25,0.0,0.0,,6,55,32.666666666666664,1,19,19.0
24,1.0,0.0,,10,45,19.4,0,0,0.0
24,0.0,0.0,,9,42,16.22222222222222,0,0,0.0
22,0.0,0.0,,9,50,21.555555555555557,1,34,34.0
6,0.0,0.0,,4,62,43.0,1,111,111.0
1,1.0,0.0,,8,39,13.625,1,99,99.0
22,0.0,0.0,,10,50,17.1,0,0,0.0
13,0.0,0.0,,4,74,35.0,1,26,26.0
22,0.0,0.0,,11,51,15.181818181818182,1,30,30.0
12,1.0,0.0,,7,55,28.285714285714285,1,27,27.0
9,0.0,0.0,,8,95,24.625,0,0,0.0
1,1.0,0.0,,11,49,17.818181818181817,1,14,14.0
9,0.0,0.0,,7,40,21.285714285714285,1,18,18.0
25,0.0,0.0,,9,38,14.333333333333334,1,68,68.0
16,0.0,0.0,,12,24,13.416666666666666,0,0,0.0
4,0.0,0.0,,8,42,12.375,0,0,0.0
17,1.0,0.0,,5,49,37.6,1,15,15.0
25,0.0,0.0,,8,36,24.375,1,13,13.0
18,1.0,0.0,,5,33,15.0,1,5,5.0
23,0.0,0.0,,6,38,18.833333333333332,1,56,56.0
